SITEID,DATE,ONSITE_POA,ONSITE_GHI,SATELLITE_GHI,SATELLITE_POA,PREF_ONSITE,PREF_SATELLITE,IRRADIANCE_TYPE,STATE,SIZE_KW_DC,METER_ENERGY,INV_TOTAL_ENERGY,DAILY_RATIO,GOOD_HOURS,TOTAL_HOURS,PCT_GOOD_HOURS
SP-002,2026-02-22,3835.751,2486.697,1859.0,2226.0,2486.697,1859.0,1.0,MN,1440.72,5227.0,5251.005,1.337653039268424,6.0,14,0.42857142857142855
SP-002,2026-02-23,6515.573,4083.379,2898.0,3704.0,4083.379,2898.0,1.0,MN,1440.72,7703.0,7738.971,1.4090334713595583,6.0,14,0.42857142857142855
SP-002,2026-02-24,3929.142,2560.817,2072.0,2423.0,2560.817,2072.0,1.0,MN,1440.72,5069.0,5089.481,1.2359155405405406,4.0,14,0.2857142857142857
SP-002,2026-02-25,6498.148,4116.854,3621.0,5069.0,4116.854,3621.0,1.0,MN,1440.72,7613.999,7649.034,1.1369384148025408,7.0,14,0.5
SP-002,2026-02-26,6296.077,4023.1,3823.0,5446.0,4023.1,3823.0,1.0,MN,1440.72,7505.997,7537.992,1.0523410933821606,6.0,14,0.42857142857142855
SP-002,2026-02-27,6347.571,4141.0,4015.0,5793.0,4141.0,4015.0,1.0,MN,1440.72,7514.0,7551.007,1.0313823163138232,5.0,14,0.35714285714285715
SP-002,2026-02-28,1255.658,974.485,1551.0,1534.0,974.485,1551.0,1.0,MN,1440.72,1897.001,1919.003,0.6282946486137976,3.0,14,0.21428571428571427
SP-002,2026-03-01,5164.075,3468.524,4183.0,5956.0,3468.524,4183.0,1.0,MN,1440.72,6058.001,6089.968,0.8291953143676787,6.0,14,0.42857142857142855
SP-002,2026-03-02,4089.4990000000003,2782.476,3178.0,4034.0,2782.476,3178.0,1.0,MN,1440.72,5028.001,5054.031,0.8755431088735054,3.0,14,0.21428571428571427
SP-002,2026-03-03,5115.522,3480.5570000000002,4089.0,5684.0,3480.5570000000002,4089.0,1.0,MN,1440.72,6160.0,6190.001,0.8512000489117144,7.0,14,0.5
SP-002,2026-03-04,1163.005,935.924,1046.0,1028.0,935.924,1046.0,1.0,MN,1440.72,1670.0,1691.004,0.8947648183556405,7.0,14,0.5
SP-002,2026-03-05,1383.068,1079.846,1243.0,1325.0,1079.846,1243.0,1.0,MN,1440.72,1927.001,1952.004,0.8687417538213998,6.0,14,0.42857142857142855
SP-002,2026-03-06,591.068,542.884,713.0,696.0,542.884,713.0,1.0,MN,1440.72,834.001,856.126,0.7614081346423562,8.0,14,0.5714285714285714
SP-002,2026-03-07,4013.823,2827.096,3364.0,4341.0,2827.096,3364.0,1.0,MN,1440.72,3777.999,3805.998,0.8403971462544589,5.0,14,0.35714285714285715
